yr	ty	pi	fi	in
20	helio	Stanislav Sazykin	Anastasia Newheart	William Marsh Rice University
19	planet	Rajdeep Dasgupta	Damanveer Grewal	William Marsh Rice University
19	planet	Laurence Yeung	Asmita Banerjee	William Marsh Rice University
15	planet	Colleen Hansel	Sutherland, Kevin	Woods Hole Oceanographic Institution
16	earth	Simon Thorrold	Camrin Braun	Woods Hole Oceanographic Institution
17	earth	W. Owens	Julie Jakoboski	Woods Hole Oceanographic Institution
17	earth	Raymond Schmitt	Sam Levang	Woods Hole Oceanographic Institution
19	earth	Amala Mahadevan	Jing He	Woods Hole Oceanographic Institution
15	earth	John Wettlaufer	Srikanth Toppaladoddi	Yale University
15	earth	Nadine Unger	Yiqi Zheng	Yale University
17	astro	Priya Natarajan	Ricarte, Angelo	Yale University
17	earth	Karen Seto	Kangning Huang	Yale University
20	astro	Nikhil Padmanabhan	Jovana Zagorac	Yale University
21	astro	Nikhil Padmanabhan	Xinyi Chen	Yale University
18	earth	Walter Jetz	Ben Carlson	Yale University
18	earth	Alexey Fedorov	Bowen Zhao	Yale University
20	earth	Alexey Fedorov	Ulla Klint Heede	Yale University
18	earth	Jennifer Griswold	Dillon Dodson	_Droplet Clustering and Turbulence in Marine Stratocumulus Clouds 18-EARTH18F-0310
18	earth	Christian Frankenberg	Siraput Jongaramrungruang	_OPTIMEEM -OPTImize MEthane Emission Monitoring 18-EARTH18F-0174
19	helio	Petrus Martens	Aparna Venkataramanasastry	_Prediction of Space Weather Effects using Filaments and Sound Waves as Precursors 19-HELIO19-0050
18	earth	Yvette Spitz	Zach Wallace	_Significance of Calcifiers to the Iron and Carbon Cycles in the Patagonia Shelf Region: A
